"","gene_id","WTn_1_WTn_2_WTn_3_0","WTn_1_WTn_2_WTn_3_1","WTn_1_WTn_2_WTn_3_2","WT6h_1_WT6h_2_WT6h_3_0","WT6h_1_WT6h_2_WT6h_3_1","WT6h_1_WT6h_2_WT6h_3_2","KOn_1_KOn_2_KOn_3_0","KOn_1_KOn_2_KOn_3_1","KOn_1_KOn_2_KOn_3_2","KO6h_1_KO6h_2_KO6h_3_0","KO6h_1_KO6h_2_KO6h_3_1","KO6h_1_KO6h_2_KO6h_3_2","gene_short_name"
"19461","XLOC_019461",2.56129,2.53092,2.55829,0.671547,0.715203,0.542448,2.54129,2.22884,2.29738,0.496896,0.544557,0.356184,"Zfp109,Zfp111"
"19462","XLOC_019462",1.7533,1.27199,1.42351,0.286923,0.149184,0.209673,1.34275,1.23211,1.34932,0.114513,0.185619,0.123077,"Zfp61"
"19463","XLOC_019463",0.350841,0.434226,0.462745,0.02238,0.048568,0.0481581,0.408622,0.361285,0.356413,0.11606,0.023842,0.0251141,"Zfp94"
"19464","XLOC_019464",0,0,0,0,0,0,0,0,0,0,0,0,"1700008P20Rik"
"19465","XLOC_019465",0,0,0,0.100766,0.0565479,0,0,0,0.028538,0,0,0,"Irgc1"
"19466","XLOC_019466",0,0.0944762,0,0,0,0,0.134461,0,0,0,0,0,"2310033E01Rik"
"19467","XLOC_019467",0.0519859,0.0393191,0.0298516,0.142733,0.0322819,0.23343,0.0698414,0.0661438,0.0316267,0.176214,0.119881,0.0938946,"Zfp575"
"19468","XLOC_019468",0,0,0,0,0,0,0,0,0,0,0,0,"Tex101"
"19469","XLOC_019469",0,0,0,0,0,0,0,0,0,0,0,0,"Gm4763"
"19470","XLOC_019470",0.018516,0.0209015,0.0317419,0.0547929,0.0903311,0.0288939,0.029428,0.0141057,0.0166969,0,0.0290547,0.091652,"Cd177"
"19471","XLOC_019471",0,0,0,0,0,0,0,0,0,0,0,0,"Lypd4"
"19472","XLOC_019472",92.1195,79.2124,78.854,85.7727,81.1552,78.7524,86.714,76.0229,81.5334,81.6812,79.8027,81.4202,"Rabac1"
"19473","XLOC_019473",35.2644,26.3996,30.6584,24.3946,26.8026,25.3147,43.3072,34.7201,38.3937,33.8614,32.7698,31.1507,"Atp1a3"
"19474","XLOC_019474",0.116326,0.088111,0.117891,0.0555866,0,0.0499012,0.191031,0.0820752,0.162812,0.0365982,0.111849,0.0374071,"Grik5"
"19475","XLOC_019475",7.99158,12.3534,10.7885,52.17,48.3685,42.8506,6.63424,8.14131,8.14013,54.9373,50.9259,46.9769,"Pou2f2"
"19476","XLOC_019476",4.04289,3.2864,3.75603,0.622331,0.603575,0.386455,4.46565,3.97878,3.84114,0.883335,0.679901,0.321522,"Dedd2"
"19477","XLOC_019477",13.9463,12.9109,13.0562,20.6746,22.3276,19.4946,13.1454,13.3765,14.3599,20.0124,18.3076,19.8079,"Gsk3a"
"19478","XLOC_019478",6.32369,5.77261,5.76779,3.2637,3.28993,3.6808,5.43784,5.08273,6.40502,2.48774,2.24467,2.3083,"Erf"
"19479","XLOC_019479",5.80232,5.10231,5.96038,3.56284,3.8089,3.202,6.36217,6.29096,5.27206,4.87837,2.70057,2.79215,"Pafah1b3"
"19480","XLOC_019480",0,0,0,0,0,0,0,0,0,0,0,0,"Cnfn"
"19481","XLOC_019481",5.16059,7.8652,7.04294,18.0097,18.9981,16.9697,6.97508,7.20589,7.00543,19.4928,19.3905,16.7426,"Lipe"
"19482","XLOC_019482",0,0,0,0,0,0,0,0,0,0,0,0,"Cxcl17"
"19483","XLOC_019483",1.94277,2.44245,1.78203,0.593991,0.542527,0.440261,2.26747,2.42893,2.14038,1.02674,0.795363,1.47326,"Ceacam1"
"19484","XLOC_019484",0.0344889,0,0.0293486,0,0,0,0.0109923,0,0.0373741,0.023036,0,0,"Ceacam2"
"19485","XLOC_019485",0,0,0,0,0,0,0.0302139,0,0,0,0,0,"Gm7092"
"19486","XLOC_019486",15.2287,15.1335,14.5596,1.09903,1.63015,1.58051,17.8204,18.9047,18.8942,2.26025,2.58967,2.17859,"Bckdha"
"19487","XLOC_019487",0.117597,0.200757,0.152654,0.307151,0.116118,0.0999607,0.288347,0.269291,0.296549,0.102502,0.209219,0.105995,"Tmem91"
"19488","XLOC_019488",9.06402,7.89899,8.24687,10.3811,11.3675,11.9699,9.07806,9.24685,9.31523,10.9623,10.993,10.2591,"Ccdc97"
"19489","XLOC_019489",28.8991,23.8186,28.3755,24.5979,23.4395,22.1741,29.8166,26.7654,29.0985,22.9738,21.6633,22.5679,"Hnrnpul1"
"19490","XLOC_019490",8.77239,11.8783,10.9034,77.836,73.0534,68.9002,8.9166,9.90657,9.62094,60.3811,56.8687,53.6403,"Axl"
"19491","XLOC_019491",0.0704395,0.0199763,0.0302427,0,0,0,0.028213,0.0682388,0.0591737,0,0,0,"Cyp2s1"
"19492","XLOC_019492",0,0,0,0,0,0,0,0,0,0,0,0,"Nlrp9c"
"19493","XLOC_019493",0,0,0,0,0,0,0,0,0,0,0,0,"Vmn1r185"
"19494","XLOC_019494",0,0,0,0,0,0,0,0,0,0,0,0,"Cyp2b23"
"19495","XLOC_019495",0,0,0,0,0,0,0,0,0,0,0,0,"Cyp2a22"
"19496","XLOC_019496",10.4121,9.07872,10.1199,19.0103,19.1167,19.6172,10.5241,9.10492,10.7036,21.1858,17.9571,18.5003,"Egln2"
"19497","XLOC_019497",19.1231,21.31,20.9288,20.5199,24.2527,23.3627,18.6598,22.4961,19.7396,27.041,25.5253,23.8891,"Rab4b"
"19498","XLOC_019498",0,0,0,0,0,0,0,231.617,0,0,0,0,"Mir3101"
"19499","XLOC_019499",0,0,0,0.169552,0,0.182018,0,0,0.116006,0,0,0,"Mia1"
"19500","XLOC_019500",12.4571,13.9061,13.448,8.19539,9.22993,9.36057,14.6198,16.3318,16.4434,11.0276,10.533,10.1344,"Snrpa"
"19501","XLOC_019501",2.46302,2.71248,2.37458,2.65849,2.8547,2.6238,2.32666,2.3118,2.62424,2.17836,2.15647,2.07074,"Itpkc"
"19502","XLOC_019502",0.0163477,0,0,0.0324393,0,0.0150102,0,0.00638608,0.00851573,0.0160576,0,0.016947,"Ltbp4"
"19503","XLOC_019503",10.6386,10.9936,11.1677,10.7122,10.6998,10.4148,9.67557,10.3227,10.0476,11.9645,12.861,11.8237,"Shkbp1,Spnb4"
"19504","XLOC_019504",176.402,158.495,163.497,213.581,203.429,212.361,177.062,181.334,188.411,230.241,226.086,214.681,"Pld3"
"19505","XLOC_019505",2.85397,2.53762,2.65069,1.39229,1.35601,1.08097,3.04179,2.66754,3.10623,1.40931,1.2837,1.45647,"Map3k10"
"19506","XLOC_019506",0.886985,1.07862,0.930715,0.445965,0.414352,0.537728,0.855503,0.846119,0.868847,0.351935,0.358212,0.273391,"1700049G17Rik"
"19507","XLOC_019507",2.09449,1.94161,2.1863,0.802695,0.831285,0.627337,2.09535,2.10489,1.80094,0.902981,0.874754,0.777856,"Zfp780b"
"19508","XLOC_019508",0.359479,0.351037,0.494788,0.161631,0.163832,0.175456,0.342172,0.405599,0.28011,0.161095,0.10486,0.175795,"Gm4636"
"19509","XLOC_019509",25.5913,24.3182,24.1573,46.401,46.0127,46.7635,22.6787,24.7607,23.2665,43.3882,44.9853,43.8219,"Psmc4"
"19510","XLOC_019510",0,0,0,0,0,0,0,0,0,0,0,0,"BC089491"
"19511","XLOC_019511",0,0,0,0,0,0,0,0.0187584,0,0,0,0,"Dll3"
"19512","XLOC_019512",9.66004,9.89902,10.6986,10.2592,10.5195,11.0606,9.52242,9.98409,9.10507,9.799,9.9368,9.2357,"Timm50"
"19513","XLOC_019513",20.1166,18.7981,18.9529,20.4223,17.9663,19.5092,18.4744,18.7655,18.9947,18.1903,17.9266,17.6258,"Supt5h"
"19514","XLOC_019514",2.78551,2.09632,2.52045,2.99223,3.35395,2.52942,2.97157,2.98932,3.33102,4.53375,3.91567,3.3062,"Plekhg2"
